DATE,WSBASE
2000-02-02,578.871
2000-02-09,577.201
2000-02-16,578.903
2000-02-23,578.206
2000-03-01,578.322
2000-03-08,576.053
2000-03-15,576.271
2000-03-22,577.258
2000-03-29,575.569
2000-04-05,579.912
2000-04-12,578.175
2000-04-19,579.188
2000-04-26,577.159
2000-05-03,580.538
2000-05-10,578.752
2000-05-17,580.986
2000-05-24,577.585
2000-05-31,585.464
2000-06-07,582.654
2000-06-14,582.274
2000-06-21,580.406
2000-06-28,581.913
2000-07-05,588.012
2000-07-12,584.858
2000-07-19,582.936
2000-07-26,583.197
2000-08-02,583.545
2000-08-09,583.125
2000-08-16,582.943
2000-08-23,583.132
2000-08-30,581.553
2000-09-06,587.410
2000-09-13,584.861
2000-09-20,583.157
2000-09-27,580.481
2000-10-04,585.445
2000-10-11,585.647
2000-10-18,585.970
2000-10-25,582.516
2000-11-01,586.831
2000-11-08,584.377
2000-11-15,589.489
2000-11-22,589.951
2000-11-29,595.545
2000-12-06,593.113
2000-12-13,593.663
2000-12-20,595.605
2000-12-27,605.347
2001-01-03,610.571
2001-01-10,599.541
2001-01-17,597.001
2001-01-24,596.263
2001-01-31,590.611
2001-02-07,593.292
2001-02-14,593.423
2001-02-21,598.364
2001-02-28,596.282
2001-03-07,598.878
2001-03-14,596.217
2001-03-21,600.583
2001-03-28,597.725
2001-04-04,602.206
2001-04-11,600.471
2001-04-18,602.764
2001-04-25,599.181
2001-05-02,606.168
2001-05-09,601.856
2001-05-16,606.224
2001-05-23,604.122
2001-05-30,612.087
2001-06-06,610.078
2001-06-13,606.937
2001-06-20,609.487
2001-06-27,607.039
2001-07-04,615.492
2001-07-11,613.974
2001-07-18,614.313
2001-07-25,617.820
2001-08-01,618.454
2001-08-08,619.833
2001-08-15,620.576
2001-08-22,622.544
2001-08-29,622.994
2001-09-05,630.845
2001-09-12,642.487
2001-09-19,689.709
2001-09-26,629.010
2001-10-03,632.196
2001-10-10,637.581
2001-10-17,638.691
2001-10-24,625.741
2001-10-31,642.030
2001-11-07,631.274
2001-11-14,638.795
2001-11-21,640.877
2001-11-28,643.707
2001-12-05,644.362
2001-12-12,642.222
2001-12-19,647.743
2001-12-26,657.699
2002-01-02,664.660
2002-01-09,654.771
2002-01-16,651.225
2002-01-23,652.843
2002-01-30,646.669
2002-02-06,651.856
2002-02-13,650.918
2002-02-20,659.675
2002-02-27,655.409
2002-03-06,658.750
2002-03-13,656.876
2002-03-20,658.576
2002-03-27,658.212
2002-04-03,664.206
2002-04-10,661.394
2002-04-17,665.214
2002-04-24,660.987
2002-05-01,667.375
2002-05-08,663.730
2002-05-15,667.699
2002-05-22,666.015
2002-05-29,677.212
2002-06-05,672.740
2002-06-12,671.634
2002-06-19,671.451
2002-06-26,675.295
2002-07-03,680.023
2002-07-10,680.054
2002-07-17,677.884
2002-07-24,679.988
2002-07-31,677.098
2002-08-07,679.757
2002-08-14,675.776
2002-08-21,681.065
2002-08-28,677.098
2002-09-04,687.572
2002-09-11,680.468
2002-09-18,679.724
2002-09-25,676.422
2002-10-02,682.773
2002-10-09,677.749
2002-10-16,684.618
2002-10-23,679.851
2002-10-30,684.799
2002-11-06,682.283
2002-11-13,688.346
2002-11-20,688.363
2002-11-27,691.587
2002-12-04,695.429
2002-12-11,693.920
2002-12-18,695.409
2002-12-25,704.580
2003-01-01,708.000
2003-01-08,701.968
2003-01-15,697.160
2003-01-22,699.444
2003-01-29,692.459
2003-02-05,698.152
2003-02-12,695.631
2003-02-19,706.148
2003-02-26,701.250
2003-03-05,706.576
2003-03-12,699.903
2003-03-19,707.955
2003-03-26,702.272
2003-04-02,710.461
2003-04-09,704.443
2003-04-16,711.778
2003-04-23,707.144
2003-04-30,713.674
2003-05-07,706.680
2003-05-14,713.808
2003-05-21,711.680
2003-05-28,720.486
2003-06-04,715.935
2003-06-11,713.167
2003-06-18,712.482
2003-06-25,715.234
2003-07-02,717.593
2003-07-09,718.960
2003-07-16,716.722
2003-07-23,718.330
2003-07-30,714.607
2003-08-06,719.068
2003-08-13,714.153
2003-08-20,728.014
2003-08-27,718.032
2003-09-03,727.882
2003-09-10,718.427
2003-09-17,722.221
2003-09-24,716.599
2003-10-01,725.425
2003-10-08,717.584
2003-10-15,727.081
2003-10-22,724.529
2003-10-29,729.727
2003-11-05,727.221
2003-11-12,727.326
2003-11-19,731.251
2003-11-26,733.021
2003-12-03,738.296
2003-12-10,733.941
2003-12-17,735.181
2003-12-24,742.692
2003-12-31,746.500
2004-01-07,743.021
2004-01-14,731.540
2004-01-21,738.697
2004-01-28,730.226
2004-02-04,734.378
2004-02-11,731.223
2004-02-18,739.283
2004-02-25,734.428
2004-03-03,738.614
2004-03-10,734.108
2004-03-17,739.662
2004-03-24,734.042
2004-03-31,739.604
2004-04-07,736.573
2004-04-14,742.776
2004-04-21,740.916
2004-04-28,744.524
2004-05-05,742.092
2004-05-12,743.605
2004-05-19,743.802
2004-05-26,746.375
2004-06-02,752.018
2004-06-09,748.296
2004-06-16,747.245
2004-06-23,749.609
2004-06-30,755.024
2004-07-07,757.879
2004-07-14,758.337
2004-07-21,758.396
2004-07-28,754.951
2004-08-04,760.088
2004-08-11,756.750
2004-08-18,755.209
2004-08-25,755.564
2004-09-01,762.187
2004-09-08,761.623
2004-09-15,764.065
2004-09-22,761.054
2004-09-29,761.993
2004-10-06,759.916
2004-10-13,764.472
2004-10-20,764.639
2004-10-27,764.057
2004-11-03,766.121
2004-11-10,767.433
2004-11-17,770.702
2004-11-24,771.470
2004-12-01,775.658
2004-12-08,774.047
2004-12-15,773.609
2004-12-22,774.139
2004-12-29,776.218
2005-01-05,780.506
2005-01-12,766.811
2005-01-19,775.911
2005-01-26,768.445
2005-02-02,776.920
2005-02-09,767.453
2005-02-16,773.825
2005-02-23,773.303
2005-03-02,776.756
2005-03-09,769.158
2005-03-16,775.607
2005-03-23,773.735
2005-03-30,774.383
2005-04-06,776.393
2005-04-13,773.391
2005-04-20,777.197
2005-04-27,775.614
2005-05-04,775.650
2005-05-11,773.039
2005-05-18,774.475
2005-05-25,775.869
2005-06-01,782.137
2005-06-08,780.508
2005-06-15,778.405
2005-06-22,779.110
2005-06-29,778.963
2005-07-06,786.192
2005-07-13,782.145
2005-07-20,784.283
2005-07-27,780.111
2005-08-03,787.840
2005-08-10,782.581
2005-08-17,782.405
2005-08-24,780.952
2005-08-31,786.599
2005-09-07,787.487
2005-09-14,788.790
2005-09-21,788.131
2005-09-28,788.929
2005-10-05,787.537
2005-10-12,788.509
2005-10-19,788.576
2005-10-26,786.599
2005-11-02,789.430
2005-11-09,787.471
2005-11-16,796.968
2005-11-23,794.123
2005-11-30,799.392
2005-12-07,797.540
2005-12-14,797.838
2005-12-21,801.639
2005-12-28,809.768
2006-01-04,814.874
2006-01-11,803.589
2006-01-18,804.738
2006-01-25,800.538
2006-02-01,802.926
2006-02-08,798.673
2006-02-15,806.300
2006-02-22,805.147
2006-03-01,809.192
2006-03-08,800.006
2006-03-15,813.061
2006-03-22,804.023
2006-03-29,807.712
2006-04-05,807.716
2006-04-12,806.645
2006-04-19,810.812
2006-04-26,808.228
2006-05-03,810.419
2006-05-10,810.404
2006-05-17,812.707
2006-05-24,811.205
2006-05-31,815.359
2006-06-07,815.695
2006-06-14,811.562
2006-06-21,809.990
2006-06-28,808.720
2006-07-05,816.772
2006-07-12,812.184
2006-07-19,812.119
2006-07-26,807.686
2006-08-02,813.617
2006-08-09,807.491
2006-08-16,810.718
2006-08-23,807.331
2006-08-30,812.944
2006-09-06,815.307
2006-09-13,809.534
2006-09-20,810.282
2006-09-27,807.114
2006-10-04,807.152
2006-10-11,811.164
2006-10-18,809.907
2006-10-25,808.974
2006-11-01,810.572
2006-11-08,812.156
2006-11-15,813.406
2006-11-22,818.555
2006-11-29,823.469
2006-12-06,822.553
2006-12-13,818.992
2006-12-20,824.322
2006-12-27,830.528
2007-01-03,838.866
2007-01-10,824.570
2007-01-17,824.950
2007-01-24,816.336
2007-01-31,820.768
2007-02-07,814.709
2007-02-14,819.468
2007-02-21,822.185
2007-02-28,822.754
2007-03-07,820.632
2007-03-14,821.397
2007-03-21,818.593
2007-03-28,821.779
2007-04-04,822.968
2007-04-11,821.474
2007-04-18,824.426
2007-04-25,821.185
2007-05-02,824.038
2007-05-09,824.810
2007-05-16,823.032
2007-05-23,824.849
2007-05-30,827.397
2007-06-06,830.867
2007-06-13,824.257
2007-06-20,827.008
2007-06-27,823.325
2007-07-04,832.256
2007-07-11,828.968
2007-07-18,829.598
2007-07-25,825.149
2007-08-01,831.092
2007-08-08,824.719
2007-08-15,842.723
2007-08-22,825.991
2007-08-29,824.563
2007-09-05,827.490
2007-09-12,828.469
2007-09-19,822.207
2007-09-26,829.917
2007-10-03,830.649
2007-10-10,829.694
2007-10-17,828.039
2007-10-24,826.417
2007-10-31,828.493
2007-11-07,830.962
2007-11-14,833.655
2007-11-21,836.500
2007-11-28,837.209
2007-12-05,834.457
2007-12-12,829.201
2007-12-19,834.742
2007-12-26,837.785
2008-01-02,848.718
2008-01-09,833.369
2008-01-16,831.726
2008-01-23,825.208
2008-01-30,828.758
2008-02-06,827.328
2008-02-13,826.168
2008-02-20,834.331
2008-02-27,830.120
2008-03-05,832.668
2008-03-12,831.090
2008-03-19,839.558
2008-03-26,829.624
2008-04-02,835.258
2008-04-09,828.876
2008-04-16,829.277
